tmj_2022,geo_point_2d,rayon,geometry
184,"45.26632800001879, 5.883597000000001",0.027129319932501072,POINT (654959.0220728321 5663547.280652774)
152,"45.21942400001893, 5.810544",0.024657656011875903,POINT (646826.799311911 5656131.704126352)
737,"45.15498351431255, 5.71241623986171",0.05429548784199291,POINT (635903.267020632 5645953.557345272)
59,"45.29204100001872, 5.633207999999999",0.015362291495737215,POINT (627085.8460925949 5667615.135960382)
84,"45.32450782934831, 5.569027776990686",0.01833030277982336,POINT (619941.3363481994 5672754.097907204)
1246,"45.207988000018965, 5.702445999999999",0.07059745037889117,POINT (634793.3849961397 5654324.587098405)
710,"45.186215000019004, 5.769533999999999",0.05329165037789692,POINT (642261.5869944787 5650885.021123213)
369,"45.13781800001914, 5.702301000000001",0.03841874542459709,POINT (634777.2436699747 5643244.266856098)
486,"45.20945100001895, 5.779065999999999",0.0440908153700972,POINT (643322.6843807203 5654555.750128577)
410,"45.21756898664909, 5.67510107458592",0.04049691346263318,POINT (631749.3618232643 5655838.550170012)
1054,"45.16853801876077, 5.699930576529093",0.06493073232299171,POINT (634513.3693362289 5648093.486767508)
1488,"45.1946450584217, 5.700130910207973",0.07714920608794364,POINT (634535.6703793505 5652216.594294048)
734,"45.154631266823955, 5.697990421830658",0.05418486873657626,POINT (634297.392303139 5645897.952746647)
634,"45.15024600001911, 5.744265000000001",0.050358713248056686,POINT (639448.6547816237 5645205.738114579)
2178,"45.19350548275992, 5.721711966985628",0.09333809511662428,POINT (636938.0626306197 5652036.580645863)
2623,"45.18875600001901, 5.7409040000000005",0.10243046421841502,POINT (639074.5099730674 5651286.365007866)
1295,"45.193810000019006, 5.714295999999998",0.07197221686178633,POINT (636112.5209620398 5652084.6835164325)
1049,"45.19049647896927, 5.782850055848239",0.06477653896280658,POINT (643743.9235508796 5651561.279157792)
3339,"45.18888900001899, 5.7505239999999995",0.11556816170554933,POINT (640145.4034744987 5651307.37248148)
3467,"45.18590415666572, 5.729315941991063",0.11776247280012424,POINT (637784.5332562296 5650835.925509737)
1385,"45.174577000019035, 5.744287",0.07443117626371358,POINT (639451.1038104211 5649047.0602734955)
3758,"45.187801611428846, 5.724328842807184",0.12260505699195283,POINT (637229.3719145446 5651135.61988289)
1559,"45.199649319579514, 5.756117949532567",0.07896834808959853,POINT (640768.1190879873 5653007.137624448)
3700,"45.18015900001901, 5.719620000000001",0.1216552506059644,POINT (636705.1859310234 5649928.564985694)
