code_zone,lib_zone,date_debut_vigilance,date_ech,date_dif,lib_pol,code_pol,etat,couleur,com_court,com_long
2050,Allier,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2051,Cantal,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2053,Puy-de-Dôme,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2052,Haute-Loire,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2012,Zone urbaine des Pays de Savoie,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2011,Zone des Coteaux,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2007,Ouest Ardèche,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2006,Ouest Ain,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2005,Est Drôme,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2004,Contreforts Massif Central,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2002,Bassin Stéphanois,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2003,Bassin Lyon Nord-Isère,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2001,Bassin Lémanique,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2000,Bassin Grenoblois,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2008,Vallée de l'Arve,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2009,Vallée du Rhône,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2010,Vallée Maurienne Tarentaise,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
2016,Zone Alpine Ain,2020-02-05,2020-02-06,2020-02-05,aucun,aucun,PAS DE DEPASSEMENT,#19FF19,aucun,aucun
