FID,id,rute_nr,rutenavn,status,kategori,under_kategori,kommune,ogc_fid,wkb_geometry
cykeldata_kk.fid-2b80431e_19460c4a556_6b6b,416,,,Eksisterende,Cykelmulighed,,København,1,"MULTILINESTRING ((12.522411753708457 55.66395800710975, 12.521638748674318 55.66396011311242, 12.521510669618213 55.66400494609147))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b6c,424,,,Eksisterende,Cykelmulighed,,København,2,"MULTILINESTRING ((12.57183705817673 55.67949802848882, 12.571636752282378 55.67973933703317, 12.571513411146038 55.67988792448677, 12.571508689470404 55.67989361659876))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b6d,3590,,,Eksisterende,Cykelmulighed,,København,3,"MULTILINESTRING ((12.567733544271618 55.726873359224015, 12.567808994758105 55.726878673438065))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b6e,3616,,,Eksisterende,Cykelmulighed,Grøn,København,4,"MULTILINESTRING ((12.6111922405657 55.669548413526734, 12.6126165083514 55.669441212768064, 12.615590762663937 55.66915101572656, 12.61856186551448 55.668861560721226, 12.618885040344713 55.66884323575148, 12.620035517890809 55.66909891043496, 12.620329489970127 55.66916131085236, 12.624873287828828 55.67011717751889, 12.625441842093833 55.66946727239378, 12.62619539337729 55.66861246539399, 12.626910745911545 55.6677970821063, 12.62767482419349 55.66692061795099, 12.628040286619322 55.66650139124248, 12.628289156841372 55.6662014394453, 12.629149421323337 55.665226022266936, 12.629637102532596 55.664663054309884, 12.629922923570293 55.664333098131536, 12.630718947799211 55.6634129381301, 12.631577880368864 55.66242332079267, 12.632263083652093 55.661638333424655, 12.633007711001298 55.66079608311712, 12.633454770983672 55.66030297532023, 12.63373824087238 55.66001222872752, 12.63403356888405 55.65970472567605, 12.634739708668354 55.65899640594438, 12.635578661469463 55.6581394664058, 12.636423532228966 55.657280477288396, 12.63658699640229 55.65709942841512, 12.637126180307469 55.656576091873, 12.637691554251587 55.655995238662555, 12.637798158651028 55.655838347846796, 12.638150420295458 55.655166960995636, 12.638622807823403 55.654266604268365, 12.639078133445224 55.653398720913856, 12.63951422497476 55.65256295965789, 12.639953567443502 55.65173945502502, 12.640283882630206 55.651057477852106, 12.640467680102658 55.65064866379525, 12.64090723568977 55.64974264650119, 12.641555118081735 55.64884218485899, 12.642126925952441 55.648047438458306, 12.642791616853092 55.6471235751824, 12.643127004026693 55.64665686536284, 12.643302377903536 55.64635375387313, 12.643632910346023 55.64570558553037))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b6f,3589,,,Eksisterende,Cykelmulighed,Grøn,København,5,"MULTILINESTRING ((12.567684801688651 55.727337023152366, 12.567707255544878 55.727339508390784))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b70,547,,,Eksisterende,Cykelmulighed,,København,6,"MULTILINESTRING ((12.550089871757066 55.660978490980476, 12.549915324596205 55.66108518070303, 12.549883988351395 55.66109967521207, 12.549857979865951 55.66110478333541, 12.549817188880683 55.66110705397411, 12.549773187547537 55.661103621535474))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b71,978,,,Eksisterende,Cykelmulighed,Grøn,København,7,"MULTILINESTRING ((12.480111478382822 55.668362042826786, 12.47840352871882 55.66840309115551))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b72,977,,,Eksisterende,Cykelmulighed,Grøn,København,8,"MULTILINESTRING ((12.480734595819023 55.67045141776958, 12.48064595883487 55.670462296668326, 12.480470722755614 55.67047581291558, 12.480358937318085 55.67047826667113, 12.480184351287736 55.67047045427293, 12.480074832169246 55.670444700146234, 12.47987698504065 55.670384587775295, 12.479700759503956 55.67031009377519, 12.478653044508034 55.66991867362052, 12.478462174035794 55.669919143391304))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b73,989,,,Eksisterende,Cykelmulighed,,København,9,"MULTILINESTRING ((12.54606967452881 55.666907383122314, 12.54740617369954 55.66700071768006))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b74,975,,,Eksisterende,Cykelmulighed,Grøn,København,10,"MULTILINESTRING ((12.47179883325042 55.68724071074225, 12.471773271102316 55.687394284179916, 12.471743050875798 55.68745728667507, 12.471728683245487 55.687493484939736, 12.471671674756 55.687591951189205, 12.471638681859186 55.68763964577501, 12.471610790835834 55.68767860629549, 12.471527607170248 55.687778820984825, 12.471437013376715 55.6878883665906, 12.471365973801142 55.687966553960614, 12.471223941859375 55.688128209068125, 12.471031336744545 55.68834367680501, 12.47071020708306 55.68870504590154, 12.470569676003995 55.68883675712082, 12.470453887780627 55.68893783744819, 12.470318705862848 55.689054946571005, 12.470134580243197 55.68920742762025, 12.469919365617056 55.689383869194145, 12.469745396430095 55.68950933700986, 12.469453411341755 55.68970429634266, 12.468987232177835 55.69000292056781, 12.468742842287357 55.690155329235985, 12.468517109007646 55.69031190403373, 12.46843374965572 55.69037799798895, 12.468218808954617 55.69059301549047, 12.468120062032506 55.690679513615294, 12.46789270310667 55.69084585232788, 12.46779158409828 55.69092056024549, 12.467711809698475 55.69097971150405, 12.4676918034988 55.69101192447406))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b75,422,,,Eksisterende,Cykelmulighed,,København,11,"MULTILINESTRING ((12.571508689470404 55.67989361659876, 12.571218363408036 55.68033176276778, 12.571173398965676 55.68048424748687, 12.571172932171134 55.680485846418314))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b76,414,,,Eksisterende,Cykelmulighed,,København,12,"MULTILINESTRING ((12.553472011919679 55.69735708999158, 12.55344836322865 55.69736448583487, 12.552786890869413 55.69760340524919, 12.552598232794407 55.69765958301666, 12.552418170825936 55.69771698172568, 12.552416420058023 55.697717543036646, 12.551497917866811 55.698069718236276, 12.550570907720536 55.69838684787682, 12.55039514986995 55.698446852240515, 12.550383454914854 55.69845085212719))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b77,427,,,Eksisterende,Cykelmulighed,,København,13,"MULTILINESTRING ((12.552045211097452 55.68704750643847, 12.551872287779023 55.687111471218294, 12.551868578700484 55.687112849141904, 12.551233799187738 55.68734764603145, 12.551220769580755 55.68735246954386))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b78,426,,,Eksisterende,Cykelmulighed,,København,14,"MULTILINESTRING ((12.551220769580755 55.68735246954386, 12.549956814767597 55.68781998545292, 12.549946169269079 55.68782392177711))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b79,415,,,Eksisterende,Cykelmulighed,Grøn,København,15,"MULTILINESTRING ((12.530599310174956 55.663090111504935, 12.53086019720259 55.66262888223422, 12.531271134111192 55.66186632978116, 12.531316780273622 55.66178157238191, 12.53133061122208 55.661760313337474, 12.531362292958363 55.661730627435475, 12.53141887022725 55.66170550154044, 12.531848277485933 55.66156792759315))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b7a,418,,,Eksisterende,Cykelmulighed,Grøn,København,16,"MULTILINESTRING ((12.546445017631902 55.69125548526326, 12.547128607762694 55.690999652478155))"
